2016-11-04T10:35:05.695+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:05 38105361, 936.250}, Platine, Cours platine}, Variation{+ 0.000%}}
2016-11-04T10:35:05.706+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:05 38105361, 68.700}, Coton, Cours coton}, Variation{- 0.000%}}
2016-11-04T10:35:05.768+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:05 38105357, 50.360}, Pétrole, Cours pétrole}, Variation{+ 0.000%}}
2016-11-04T10:35:05.776+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:05 38105707, 66.005}, Coton, Cours coton}, Variation{- 0.040%}}
2016-11-04T10:35:05.804+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:05 38105361, 997.380}, Soja, Cours soja}, Variation{- 0.000%}}
2016-11-04T10:35:05.807+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:05 38105361, 1262.090}, Or, Cours or}, Variation{+ 0.000%}}
2016-11-04T10:35:05.828+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:05 38105361, 50.360}, Gaz naturel, Cours gaz naturel}, Variation{+ 0.000%}}
2016-11-04T10:35:05.875+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:05 38105361, 51.340}, Brebt oil, Cours brent}, Variation{- 0.000%}}
2016-11-04T10:35:05.914+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:05 38105361, 157.730}, Café C, Cours café}, Variation{- 0.000%}}
2016-11-04T10:35:05.951+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:05 38105361, 402.800}, Blé, Cours blé}, Variation{+ 0.000%}}
2016-11-04T10:35:05.994+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:05 38105769, 51.268}, Pétrole, Cours pétrole}, Variation{+ 0.019%}}
2016-11-04T10:35:06.050+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:05 38105915, 156.000}, Café C, Cours café}, Variation{- 0.011%}}
2016-11-04T10:35:06.051+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:06 38106050, 1013.431}, Platine, Cours platine}, Variation{+ 0.036%}}
2016-11-04T10:35:06.092+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:05 38105995, 52.726}, Pétrole, Cours pétrole}, Variation{+ 0.029%}}
